Energy_keV,InputSpectrum,DetectedSpectrum,GaussianFit
1.610000000000001208e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.337126773191516294e-01
1.620000000000001350e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.216860987701214980e-01
1.630000000000001137e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.398729025501196266e-01
1.640000000000001279e+01,0.000000000000000000e+00,3.000000000000000000e+00,5.975400456920040293e-01
1.650000000000001421e+01,0.000000000000000000e+00,2.000000000000000000e+00,8.064022200998024470e-01
1.660000000000001208e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.081138430944670104e+00
1.670000000000001350e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.439977770653321665e+00
1.680000000000001137e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.905351745114519213e+00
1.690000000000001279e+01,0.000000000000000000e+00,3.000000000000000000e+00,2.504606066620030269e+00
1.700000000000001421e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.270759308910666796e+00
1.710000000000001563e+01,0.000000000000000000e+00,2.000000000000000000e+00,4.243289237991147544e+00
1.720000000000001350e+01,0.000000000000000000e+00,4.000000000000000000e+00,5.468920087260814356e+00
1.730000000000001137e+01,0.000000000000000000e+00,6.000000000000000000e+00,7.002375740184811015e+00
1.740000000000001279e+01,0.000000000000000000e+00,1.300000000000000000e+01,8.907055041691116060e+00
1.750000000000001421e+01,0.000000000000000000e+00,1.700000000000000000e+01,1.125557673506461853e+01
1.760000000000001563e+01,0.000000000000000000e+00,1.500000000000000000e+01,1.413013340160737386e+01
1.770000000000001350e+01,0.000000000000000000e+00,1.700000000000000000e+01,1.762258697689555120e+01
1.780000000000001492e+01,0.000000000000000000e+00,2.100000000000000000e+01,2.183423374245754545e+01
1.790000000000001279e+01,0.000000000000000000e+00,2.100000000000000000e+01,2.687516502080656977e+01
1.800000000000001421e+01,0.000000000000000000e+00,2.700000000000000000e+01,3.286315202033438965e+01
1.810000000000001563e+01,0.000000000000000000e+00,4.200000000000000000e+01,3.992199021099045808e+01
1.820000000000001350e+01,0.000000000000000000e+00,4.600000000000000000e+01,4.817925094861674751e+01
